Timestamp,Mention your comment here it can be related to the movie or any product.,Sentiment of the above comment
5/2/2025 10:33:54,Recently I have purchaced a shoe from decathelon.The quality of the shoe is too good and it is verymuch comfortable to wear.The product is actually value for money.,Positive
5/2/2025 10:35:10,"L2: Empuraan 
its a good movie to watch .",Positive
5/2/2025 10:38:50,Absolutely loved it! The storyline kept me hooked from start to finish.,Positive
5/2/2025 10:39:06,The acting was phenomenal and the visuals were stunning.,Positive
5/2/2025 10:39:22,Great user experience – smooth and intuitive design.,Positive
5/2/2025 10:39:35,"The Philips Air Fryer exceeded my expectations—it's efficient, easy to clean, and makes perfectly crispy food with little to no oil. A must-have for every kitchen!",Positive
5/2/2025 10:39:38,One of the best purchases I’ve made this year!,Positive
5/2/2025 10:39:57,Product didn’t match the description – very disappointed.,Negative
5/2/2025 10:40:12,Received it late and the packaging was damaged.,Negative
5/2/2025 10:40:25,Too many bugs and crashes. Needs a lot of improvement.,Negative
5/2/2025 10:40:29,"The boAt Rockerz 255 Pro+ earbuds have decent sound, but the battery life doesn't last as long as claimed, and the Bluetooth connection occasionally drops. A bit disappointing for the price.",Negative
5/2/2025 10:40:37,"2018 (2023)
""A beautiful recreation of the devastating Kerala floods. Every character offers an emotional experience. Technically brilliant with powerful direction.""",Positive
5/2/2025 10:40:43,"Average product. Does what it’s supposed to, nothing more.",Neutral
5/2/2025 10:40:55,"Drishyam (2013)
""A benchmark for family thrillers. Mohanlal delivers one of his finest performances. The shocking climax turns this film into a classic.""",Positive
5/2/2025 10:41:00,"Average product. Does what it’s supposed to, nothing more",Neutral
5/2/2025 10:41:13,"Premam (2015)
""A beautiful journey filled with love, nostalgia, and music. A milestone in Nivin Pauly’s career. A film that won the hearts of the youth.""",Neutral
5/2/2025 10:41:14,"Didn’t meet my expectations, but some features were useful.",Neutral
5/2/2025 10:41:16,"The Prestige Electric Kettle looks good, but the plastic smell while boiling water is really off-putting, and the lid feels flimsy. Not up to the mark.",Negative
5/2/2025 10:41:30,"Kumbalangi Nights (2019)
""Unique characters and a touching narrative. Portrays the complexities of family relationships in a heartfelt manner. A fresh perspective on storytelling.""",Neutral
5/2/2025 10:41:46,"Jallikattu (2019)
""Raw, intense, and wildly artistic. Lijo Jose Pellissery once again shines as a visionary director. A cinematic experience unlike any other.""",Negative
5/2/2025 10:41:58,"The Samsung Galaxy M14 performs decently for everyday tasks, but there’s nothing particularly standout about it. It's a solid choice if you're on a budget",Neutral
5/2/2025 10:44:04,"Master: 
A gripping action-thriller with Vijay in the lead, offering a strong storyline with intense performances and thrilling sequences. The movie’s high-octane action keeps the audience engaged.",Negative
5/2/2025 10:44:28,"Soorarai Pottru: 
An inspiring drama about a man’s ambition to make air travel affordable for everyone. With brilliant performances by Suriya and a powerful narrative, it resonates deeply with viewers.",Positive
5/2/2025 10:44:48,"Kaithi: 
A thrilling ride that keeps you at the edge of your seat. Karthi shines in this gripping tale of a man caught up in a high-stakes rescue mission.",Positive
5/2/2025 10:45:08,"Vikram:
 A slick, action-packed thriller that is filled with intense performances and a gripping plot. Kamal Haasan's return to the screen is a treat for fans, delivering both style and substance.",Neutral
5/2/2025 10:45:26,"96: 
A heartwarming romance that tugs at your emotions. The nostalgia and chemistry between the lead actors, Vijay Sethupathi and Trisha, make it an unforgettable watch.",Negative
5/2/2025 10:46:38,good action,Positive
5/2/2025 10:46:42,Nice movie,Positive
5/2/2025 10:46:51,bad romantic,Negative
5/2/2025 10:46:53,"
I thoroughly enjoyed the film!
The script was well done and the characters were so engrossing.
Each scene was purposeful and the plot surprises kept me in suspense.
It's one of the finest films I've watched in years.",Positive
5/2/2025 10:47:07,avreage funny,Neutral
5/2/2025 10:47:30,Blockbuster,Positive
5/2/2025 10:47:35,"
I did not find the film to be very engaging or interesting.
The storyline was rather predictable and uninspired or exciting.
I was having a hard time staying engaged and kept finding myself checking my phone.
Something I would not suggest to anyone.",Negative
5/2/2025 10:47:54,"The film was mediocre in general.
It had some good parts, but nothing that particularly impressed me.
Acting was okay, but the plot seemed rehashed.
I wouldn't see it again, but I don't regret having seen it once.",Neutral
5/2/2025 10:48:06,"very poor , drama",Negative
5/2/2025 12:34:29,The Movie was amazing. It was not a big hit on the Screens but the message given by the movie at the end is really needed in today's world.,Positive
5/5/2025 0:00:00,Pretty decent.,Positive
5/5/2025 0:44:43,Terrible.,Positive
5/5/2025 1:29:26,It was okay.,Neutral
5/5/2025 2:14:09,"Great product overall. It came well-packaged and delivered on time. The material feels premium and it works exactly as described. I had a minor issue initially, but the support team resolved it within hours. Would definitely buy from this brand again.",Negative
5/5/2025 2:58:52,Won't recommend.,Neutral
5/5/2025 3:43:36,Superb quality.,Negative
5/5/2025 4:28:19,Not as advertised. Very disappointed.,Positive
5/5/2025 5:13:02,"I use this product every day and I must say it has made my life so much easier. The features are intuitive, the customer support is responsive, and the value for the price is unbeatable. If you're on the fence, go for it!",Neutral
5/5/2025 5:57:45,It was okay.,Negative
5/5/2025 6:42:29,Pretty decent.,Neutral
5/5/2025 7:27:12,Superb quality.,Positive
5/5/2025 8:11:55,"I recently purchased this gadget after reading numerous reviews online. I must say, it has lived up to the hype. The build quality is superb, performance is smooth, and the battery lasts long. Highly recommended for tech lovers!",Positive
5/5/2025 8:56:38,Value for money. Happy with the purchase.,Neutral
5/5/2025 9:41:21,The product exceeded my expectations. Will definitely buy again.,Neutral
5/5/2025 10:26:05,The movie was quite entertaining with great acting and visuals.,Negative
5/5/2025 11:10:48,Terrible.,Neutral
5/5/2025 11:55:31,Loved it!,Negative
5/5/2025 12:40:14,Great experience!,Neutral
5/5/2025 13:24:58,Terrible.,Neutral
5/5/2025 14:09:41,"Service was slow, but the product is decent.",Negative
5/5/2025 14:54:24,"I use this product every day and I must say it has made my life so much easier. The features are intuitive, the customer support is responsive, and the value for the price is unbeatable. If you're on the fence, go for it!",Negative
5/5/2025 15:39:07,"I had high hopes, but the plot fell flat.",Negative
5/5/2025 16:23:51,"I use this product every day and I must say it has made my life so much easier. The features are intuitive, the customer support is responsive, and the value for the price is unbeatable. If you're on the fence, go for it!",Negative
5/5/2025 17:08:34,"The movie started off slow, but gradually built up to a fantastic climax. The acting, especially by the lead actor, was commendable. The soundtrack added depth to the scenes and the direction was top-notch. A must-watch for thriller fans.",Positive
5/5/2025 17:53:17,Disappointing.,Neutral
5/5/2025 18:38:00,It was okay.,Neutral
5/5/2025 19:22:43,Terrible.,Positive
5/5/2025 20:07:27,Great experience!,Neutral
5/5/2025 20:52:10,"The movie started off slow, but gradually built up to a fantastic climax. The acting, especially by the lead actor, was commendable. The soundtrack added depth to the scenes and the direction was top-notch. A must-watch for thriller fans.",Negative
5/5/2025 21:36:53,Great experience!,Positive
5/5/2025 22:21:36,The design is sleek and user-friendly. A solid buy.,Neutral
5/5/2025 23:06:20,Not worth the money.,Positive
5/5/2025 23:51:03,"Service was slow, but the product is decent.",Positive
5/6/2025 0:35:46,"Loved the cinematography, but the pacing was too slow.",Negative
5/6/2025 1:20:29,"Great product overall. It came well-packaged and delivered on time. The material feels premium and it works exactly as described. I had a minor issue initially, but the support team resolved it within hours. Would definitely buy from this brand again.",Negative
5/6/2025 2:05:13,"I use this product every day and I must say it has made my life so much easier. The features are intuitive, the customer support is responsive, and the value for the price is unbeatable. If you're on the fence, go for it!",Positive
5/6/2025 2:49:56,Pretty decent.,Negative
5/6/2025 3:34:39,Pretty decent.,Negative
5/6/2025 4:19:22,Loved it!,Neutral
5/6/2025 5:04:05,Value for money. Happy with the purchase.,Positive
5/6/2025 5:48:49,"I had high hopes, but the plot fell flat.",Neutral
5/6/2025 6:33:32,Disappointing.,Neutral
5/6/2025 7:18:15,Loved it!,Negative
5/6/2025 8:02:58,Pretty decent.,Negative
5/6/2025 8:47:42,"Was really looking forward to watching this film after seeing the trailer. Sadly, it didn't live up to the expectations. The storyline was clichÃ©d, characters were underdeveloped, and the ending felt rushed. Not recommended.",Neutral
5/6/2025 9:32:25,Disappointing.,Negative
5/6/2025 10:17:08,It was okay.,Negative
5/6/2025 11:01:51,"I use this product every day and I must say it has made my life so much easier. The features are intuitive, the customer support is responsive, and the value for the price is unbeatable. If you're on the fence, go for it!",Neutral
5/6/2025 11:46:35,Won't recommend.,Positive
5/6/2025 12:31:18,Superb quality.,Neutral
5/6/2025 13:16:01,"Was really looking forward to watching this film after seeing the trailer. Sadly, it didn't live up to the expectations. The storyline was clichÃ©d, characters were underdeveloped, and the ending felt rushed. Not recommended.",Positive
5/6/2025 14:00:44,The product exceeded my expectations. Will definitely buy again.,Neutral
5/6/2025 14:45:27,Disappointing.,Positive
5/6/2025 15:30:11,"Acting was mediocre, but the story kept me interested.",Neutral
5/6/2025 16:14:54,Pretty decent.,Positive
5/6/2025 16:59:37,The product exceeded my expectations. Will definitely buy again.,Positive
5/6/2025 17:44:20,Amazing!,Positive
5/6/2025 18:29:04,Pretty decent.,Negative
5/6/2025 19:13:47,Not worth the money.,Negative
5/6/2025 19:58:30,"I recently purchased this gadget after reading numerous reviews online. I must say, it has lived up to the hype. The build quality is superb, performance is smooth, and the battery lasts long. Highly recommended for tech lovers!",Negative
5/6/2025 20:43:13,Pretty decent.,Negative
5/6/2025 21:27:57,Great experience!,Positive
5/6/2025 22:12:40,"Decent watch. Not too great, not too bad either.",Positive
5/6/2025 22:57:23,Not as advertised. Very disappointed.,Negative
5/6/2025 23:42:06,Great experience!,Neutral
5/7/2025 0:26:49,Pretty decent.,Positive
5/7/2025 1:11:33,Superb quality.,Positive
5/7/2025 1:56:16,Great experience!,Negative
5/7/2025 2:40:59,Terrible.,Negative
5/7/2025 3:25:42,It was okay.,Negative
5/7/2025 4:10:26,Not as advertised. Very disappointed.,Negative
5/7/2025 4:55:09,Superb quality.,Positive
5/7/2025 5:39:52,Superb quality.,Positive
5/7/2025 6:24:35,"The movie started off slow, but gradually built up to a fantastic climax. The acting, especially by the lead actor, was commendable. The soundtrack added depth to the scenes and the direction was top-notch. A must-watch for thriller fans.",Positive
5/7/2025 7:09:19,"Was really looking forward to watching this film after seeing the trailer. Sadly, it didn't live up to the expectations. The storyline was clichÃ©d, characters were underdeveloped, and the ending felt rushed. Not recommended.",Negative
5/7/2025 7:54:02,"I use this product every day and I must say it has made my life so much easier. The features are intuitive, the customer support is responsive, and the value for the price is unbeatable. If you're on the fence, go for it!",Neutral
5/7/2025 8:38:45,"Loved the cinematography, but the pacing was too slow.",Negative
5/7/2025 9:23:28,Amazing!,Neutral
5/7/2025 10:08:11,Disappointing.,Neutral
5/7/2025 10:52:55,Great experience!,Neutral
5/7/2025 11:37:38,Loved it!,Negative
5/7/2025 12:22:21,"Acting was mediocre, but the story kept me interested.",Positive
5/7/2025 13:07:04,"I use this product every day and I must say it has made my life so much easier. The features are intuitive, the customer support is responsive, and the value for the price is unbeatable. If you're on the fence, go for it!",Neutral
5/7/2025 13:51:48,"Great product overall. It came well-packaged and delivered on time. The material feels premium and it works exactly as described. I had a minor issue initially, but the support team resolved it within hours. Would definitely buy from this brand again.",Negative
5/7/2025 14:36:31,Not as advertised. Very disappointed.,Negative
5/7/2025 15:21:14,The movie was quite entertaining with great acting and visuals.,Positive
5/7/2025 16:05:57,Amazing!,Negative
5/7/2025 16:50:40,Amazing!,Positive
5/7/2025 17:35:24,Disappointing.,Neutral
5/7/2025 18:20:07,"The movie started off slow, but gradually built up to a fantastic climax. The acting, especially by the lead actor, was commendable. The soundtrack added depth to the scenes and the direction was top-notch. A must-watch for thriller fans.",Negative
5/7/2025 19:04:50,Value for money. Happy with the purchase.,Negative
5/7/2025 19:49:33,"Acting was mediocre, but the story kept me interested.",Positive
5/7/2025 20:34:17,"The movie started off slow, but gradually built up to a fantastic climax. The acting, especially by the lead actor, was commendable. The soundtrack added depth to the scenes and the direction was top-notch. A must-watch for thriller fans.",Positive
5/7/2025 21:19:00,"Service was slow, but the product is decent.",Positive
5/7/2025 22:03:43,The product exceeded my expectations. Will definitely buy again.,Neutral
5/7/2025 22:48:26,Disappointing.,Neutral
5/7/2025 23:33:10,The product exceeded my expectations. Will definitely buy again.,Negative
5/8/2025 0:17:53,Won't recommend.,Negative
5/8/2025 1:02:36,"The movie started off slow, but gradually built up to a fantastic climax. The acting, especially by the lead actor, was commendable. The soundtrack added depth to the scenes and the direction was top-notch. A must-watch for thriller fans.",Positive
5/8/2025 1:47:19,"I use this product every day and I must say it has made my life so much easier. The features are intuitive, the customer support is responsive, and the value for the price is unbeatable. If you're on the fence, go for it!",Positive
5/8/2025 2:32:02,The movie was quite entertaining with great acting and visuals.,Negative
5/8/2025 3:16:46,Superb quality.,Positive
5/8/2025 4:01:29,Not worth the money.,Neutral
5/8/2025 4:46:12,"Acting was mediocre, but the story kept me interested.",Positive
5/8/2025 5:30:55,"Was really looking forward to watching this film after seeing the trailer. Sadly, it didn't live up to the expectations. The storyline was clichÃ©d, characters were underdeveloped, and the ending felt rushed. Not recommended.",Negative
5/8/2025 6:15:39,Amazing!,Positive
5/8/2025 7:00:22,"Decent watch. Not too great, not too bad either.",Positive
5/8/2025 7:45:05,Not worth the money.,Positive
5/8/2025 8:29:48,Not worth the money.,Positive
5/8/2025 9:14:32,"The movie started off slow, but gradually built up to a fantastic climax. The acting, especially by the lead actor, was commendable. The soundtrack added depth to the scenes and the direction was top-notch. A must-watch for thriller fans.",Neutral
5/8/2025 9:59:15,"I use this product every day and I must say it has made my life so much easier. The features are intuitive, the customer support is responsive, and the value for the price is unbeatable. If you're on the fence, go for it!",Positive
5/8/2025 10:43:58,"Service was slow, but the product is decent.",Negative
5/8/2025 11:28:41,The movie was quite entertaining with great acting and visuals.,Negative
5/8/2025 12:13:24,Great experience!,Negative
5/8/2025 12:58:08,"Loved the cinematography, but the pacing was too slow.",Neutral
5/8/2025 13:42:51,It was okay.,Negative
5/8/2025 14:27:34,Great experience!,Negative
5/8/2025 15:12:17,Amazing!,Positive
5/8/2025 15:57:01,"I use this product every day and I must say it has made my life so much easier. The features are intuitive, the customer support is responsive, and the value for the price is unbeatable. If you're on the fence, go for it!",Positive
5/8/2025 16:41:44,Value for money. Happy with the purchase.,Positive
5/8/2025 17:26:27,"Service was slow, but the product is decent.",Positive
5/8/2025 18:11:10,Loved it!,Neutral
5/8/2025 18:55:54,Not as advertised. Very disappointed.,Neutral
5/8/2025 19:40:37,"Decent watch. Not too great, not too bad either.",Positive
5/8/2025 20:25:20,Won't recommend.,Positive
5/8/2025 21:10:03,Not worth the money.,Neutral
5/8/2025 21:54:46,Disappointing.,Neutral
5/8/2025 22:39:30,Loved it!,Positive
5/8/2025 23:24:13,"I had high hopes, but the plot fell flat.",Positive
5/9/2025 0:08:56,"I use this product every day and I must say it has made my life so much easier. The features are intuitive, the customer support is responsive, and the value for the price is unbeatable. If you're on the fence, go for it!",Negative
5/9/2025 0:53:39,Pretty decent.,Negative
5/9/2025 1:38:23,Disappointing.,Negative
5/9/2025 2:23:06,"Decent watch. Not too great, not too bad either.",Positive
5/9/2025 3:07:49,It was okay.,Neutral
5/9/2025 3:52:32,Great experience!,Negative
5/9/2025 4:37:16,"Great product overall. It came well-packaged and delivered on time. The material feels premium and it works exactly as described. I had a minor issue initially, but the support team resolved it within hours. Would definitely buy from this brand again.",Neutral
5/9/2025 5:21:59,Superb quality.,Neutral
5/9/2025 6:06:42,The product exceeded my expectations. Will definitely buy again.,Neutral
5/9/2025 6:51:25,Superb quality.,Negative
5/9/2025 7:36:08,"I recently purchased this gadget after reading numerous reviews online. I must say, it has lived up to the hype. The build quality is superb, performance is smooth, and the battery lasts long. Highly recommended for tech lovers!",Neutral
5/9/2025 8:20:52,"I had high hopes, but the plot fell flat.",Negative
5/9/2025 9:05:35,Not as advertised. Very disappointed.,Neutral
5/9/2025 9:50:18,Amazing!,Positive
5/9/2025 10:35:01,Pretty decent.,Negative
5/9/2025 11:19:45,It was okay.,Neutral
5/9/2025 12:04:28,Won't recommend.,Negative
5/9/2025 12:49:11,"Great product overall. It came well-packaged and delivered on time. The material feels premium and it works exactly as described. I had a minor issue initially, but the support team resolved it within hours. Would definitely buy from this brand again.",Positive
5/9/2025 13:33:54,Pretty decent.,Positive
5/9/2025 14:18:38,Amazing!,Negative
5/9/2025 15:03:21,"I had high hopes, but the plot fell flat.",Positive
5/9/2025 15:48:04,Terrible.,Positive
5/9/2025 16:32:47,Great experience!,Neutral
5/9/2025 17:17:30,The design is sleek and user-friendly. A solid buy.,Neutral
5/9/2025 18:02:14,"The movie started off slow, but gradually built up to a fantastic climax. The acting, especially by the lead actor, was commendable. The soundtrack added depth to the scenes and the direction was top-notch. A must-watch for thriller fans.",Positive
5/9/2025 18:46:57,Disappointing.,Negative
5/9/2025 19:31:40,Great experience!,Negative
5/9/2025 20:16:23,Amazing!,Neutral
5/9/2025 21:01:07,It was okay.,Negative
5/9/2025 21:45:50,The product exceeded my expectations. Will definitely buy again.,Positive
5/9/2025 22:30:33,Superb quality.,Negative
5/9/2025 23:15:16,Pretty decent.,Positive
5/10/2025 0:00:00,"I had high hopes, but the plot fell flat.",Positive